CD_UF;CD_REGIAO;SG_UF;NM_UF
11;1;RO;Rondônia
12;1;AC;Acre
13;1;AM;Amazonas
14;1;RR;Roraima
15;1;PA;Pará
16;1;AP;Amapá
17;1;TO;Tocantins
21;2;MA;Maranhão
22;2;PI;Piauí
23;2;CE;Ceará
24;2;RN;Rio Grande do Norte
25;2;PB;Paraíba
26;2;PE;Pernambuco
27;2;AL;Alagoas
28;2;SE;Sergipe
29;2;BA;Bahia
31;3;MG;Minas Gerais
32;3;ES;Espírito Santo
33;3;RJ;Rio de Janeiro
35;3;SP;São Paulo
41;4;PR;Paraná
42;4;SC;Santa Catarina
43;4;RS;Rio Grande do Sul
50;5;MS;Mato Grosso do Sul
51;5;MT;Mato Grosso
52;5;GO;Goiás
53;5;DF;Distrito Federal
